@relation scenario_3

@attribute timestamps numeric
@attribute accelerator_pedal numeric
@attribute brake_pressure numeric
@attribute steering_angle_calculated numeric
@attribute vehicle_speed numeric

@data
1533906417378307,16.201845,0,4.599417,36.368643
1533906417382362,15.824274,0,4.529869,36.378337
1533906417386417,15.508681,0,4.451811,36.386958
1533906417390472,15.343444,0,4.383612,36.394154
1533906417394527,15.217047,0,4.347624,36.399576
1533906417398582,15.031346,0,4.350087,36.402949
1533906417402637,14.852301,0,4.354918,36.404412
1533906417406692,14.798658,0,4.323009,36.404241
1533906417410747,14.84844,0,4.257072,36.40271
1533906417414802,14.807142,0,4.185656,36.400096
1533906417418857,14.531205,0,4.125341,36.396821
1533906417422912,14.157901,0,4.066202,36.393956
1533906417426967,13.896758,0,3.997541,36.392749
1533906417431022,13.767316,0,3.931782,36.394449
1533906417435077,13.593985,0,3.893092,36.400303
1533906417439132,13.261136,0,3.889239,36.410999
1533906417443187,12.909705,0,3.898744,36.42522
1533906417447242,12.730661,0,3.900577,36.441196
1533906417451297,12.740431,0,3.897852,36.45716
1533906417455352,12.804424,0,3.903686,36.471345
1533906417459407,12.821293,0,3.914896,36.482338
1533906417463462,12.806254,0,3.903999,36.489773
1533906417467517,12.794737,0,3.850053,36.493473
1533906417471572,12.796024,0,3.780316,36.493261
1533906417475627,12.800527,0,3.738111,36.488961
1533906417479682,12.801497,0,3.736185,36.480836
1533906417483737,12.800359,0,3.749459,36.470205
1533906417487792,12.799605,0,3.755247,36.458543
1533906417491847,12.799734,0,3.752738,36.447327
1533906417495902,12.800049,0,3.747418,36.438026
1533906417499957,12.800104,0,3.744762,36.431588
1533906417504012,12.800019,0,3.750227,36.427913
1533906417508067,12.799972,0,3.763473,36.426775
1533906417512122,12.799984,0,3.762327,36.427949
1533906417516177,12.800004,0,3.721495,36.431205
1533906417520232,12.800003,0,3.652088,36.436015
1533906417524287,12.799999,0,3.596814,36.441352
1533906417528342,12.800009,0,3.584112,36.446144
1533906417532397,12.800014,0,3.595275,36.449316
1533906417536452,12.799984,0,3.60395,36.449815
1533906417540507,12.799942,0,3.603059,36.447417
1533906417544562,12.799986,0,3.599585,36.443056
1533906417548617,12.800162,0,3.598606,36.437747
1533906417552672,12.800194,0,3.599546,36.432509
1533906417556727,12.79972,0,3.600946,36.428344
1533906417560782,12.799172,0,3.601336,36.425807
1533906417564837,12.799928,0,3.599257,36.424931
1533906417568892,12.802411,0,3.59588,36.425724
1533906417572947,12.802521,0,3.597869,36.428191
1533906417577002,12.795418,0,3.610029,36.432314
1533906417581057,12.788378,0,3.615437,36.437565
1533906417585112,12.800837,0,3.586482,36.442925
1533906417589167,12.835541,0,3.520376,36.447353
1533906417593222,12.832215,0,3.457325,36.449808
1533906417597277,12.721981,0,3.43479,36.449321
1533906417601332,12.536199,0,3.442711,36.446079
1533906417605387,12.390731,0,3.451645,36.441215
1533906417609442,12.360416,0,3.449505,36.435887
1533906417613497,12.389909,0,3.449286,36.431255
1533906417617552,12.404738,0,3.460601,36.4284
1533906417621607,12.396621,0,3.463586,36.427411
1533906417625662,12.403881,0,3.429225,36.427706
1533906417629717,12.435067,0,3.360982,36.428688
1533906417633772,12.423356,0,3.301494,36.42976
1533906417637827,12.301616,0,3.284628,36.430376
1533906417641882,12.115752,0,3.294418,36.430481
1533906417645937,11.977616,0,3.301833,36.430298
1533906417649992,11.94877,0,3.299136,36.430053
1533906417654047,11.987134,0,3.300213,36.429973
1533906417658102,12.038127,0,3.311894,36.430282
1533906417662157,12.047405,0,3.311485,36.431181
1533906417666212,11.961485,0,3.271661,36.432859
1533906417670267,11.784589,0,3.202595,36.435505
1533906417674322,11.618853,0,3.146238,36.439308
1533906417678377,11.558214,0,3.131198,36.44439
1533906417682432,11.578433,0,3.143195,36.450437
1533906417686487,11.607624,0,3.160317,36.456966
1533906417690542,11.610008,0,3.165303,36.463493
1533906417694597,11.600823,0,3.144202,36.469535
1533906417698652,11.596367,0,3.091383,36.474636
1533906417702707,11.597909,0,3.021611,36.478493
1533906417706762,11.601651,0,2.95188,36.48085
1533906417710817,11.603732,0,2.890196,36.481451
1533906417714872,11.60022,0,2.839183,36.480039
1533906417718927,11.590759,0,2.791963,36.476481
1533906417722982,11.590599,0,2.722428,36.471152
1533906417727037,11.617243,0,2.608129,36.464559
1533906417731092,11.643139,0,2.475935,36.457213
1533906417735147,11.596099,0,2.37645,36.449622
1533906417739202,11.437511,0,2.322831,36.442335
1533906417743257,11.255825,0,2.264288,36.43604
1533906417747312,11.161972,0,2.154765,36.431458
1533906417751367,11.167701,0,2.021154,36.429307
1533906417755422,11.202789,0,1.919261,36.430307
1533906417759477,11.213916,0,1.863039,36.434687
1533906417763532,11.205205,0,1.807266,36.441303
1533906417767587,11.191353,0,1.711039,36.448773
1533906417771642,11.186731,0,1.580606,36.455714
1533906417775697,11.205406,0,1.437955,36.460745
1533906417779752,11.238841,0,1.30477,36.46309
1533906417783807,11.223795,0,1.202362,36.463361
1533906417787862,11.099704,0,1.141655,36.462364
1533906417791917,10.914223,0,1.088225,36.460906
1533906417795972,10.777055,0,0.99732,36.45979
1533906417800027,10.747499,0,0.870814,36.459454
1533906417804082,10.782983,0,0.756687,36.459636
1533906417808137,10.829593,0,0.691046,36.459994
1533906417812192,10.841855,0,0.640603,36.460187
1533906417816247,10.779925,0,0.552089,36.459875
1533906417820302,10.631882,0,0.421634,36.458844
1533906417824357,10.448034,0,0.300723,36.457156
1533906417828412,10.281007,0,0.22804,36.454908
1533906417832467,10.126587,0,0.177944,36.452195
1533906417836522,9.950056,0,0.110687,36.449117
1533906417840577,9.754375,0,0.034047,36.445892
1533906417844632,9.614104,0,0.000149,36.442955
1533906417848687,9.593353,0,0.041547,36.440764
1533906417852742,9.620698,0,0.119776,36.439776
1533906417856797,9.565619,0,0.184779,36.440444
1533906417860852,9.392764,0,0.236161,36.442884
1533906417864907,9.217056,0,0.312555,36.44671
1533906417868962,9.146515,0,0.43336,36.451496
1533906417873017,9.167755,0,0.56244,36.456814
1533906417877072,9.222102,0,0.657536,36.46224
1533906417881127,9.253059,0,0.715395,36.467423
1533906417885182,9.207048,0,0.758289,36.472106
1533906417889237,9.053206,0,0.806617,36.476037
1533906417893292,8.870576,0,0.875541,36.478963
1533906417897347,8.768498,0,0.977307,36.480647
1533906417901402,8.769349,0,1.103336,36.48117
1533906417905457,8.8,0,1.233658,36.480951
1533906417909512,8.802003,0,1.356521,36.480424
1533906417913567,8.795174,0,1.475791,36.480023
1533906417917622,8.815854,0,1.596404,36.480158
1533906417921677,8.840835,0,1.718506,36.480767
1533906417925732,8.792664,0,1.840109,36.481381
1533906417929787,8.632165,0,1.960866,36.481512
1533906417933842,8.451107,0,2.083008,36.480676
1533906417937897,8.360756,0,2.207915,36.478425
1533906417941952,8.368659,0,2.330446,36.474859
1533906417946007,8.403693,0,2.443388,36.470476
1533906417950062,8.414028,0,2.554158,36.465786
