@relation scenario_0

@attribute timestamps numeric
@attribute accelerator_pedal numeric
@attribute brake_pressure numeric
@attribute steering_angle_calculated numeric
@attribute vehicle_speed numeric

@data
1554121595486756,1.707846,0,7.357403,43.655023
1554121595490808,0.996104,0,7.364861,43.646421
1554121595494860,0.426591,0,7.341936,43.637493
1554121595498912,0.120022,0,7.279349,43.629022
1554121595502964,0.01443,0,7.21321,43.621789
1554121595507016,-0.005151,0,7.181942,43.616505
1554121595511068,-0.005289,0,7.186071,43.613143
1554121595515120,0.000004,0,7.205181,43.611252
1554121595519172,0.001768,0,7.218926,43.610372
1554121595523224,0.000651,0,7.207511,43.610046
1554121595527276,-0.000398,0,7.156056,43.609853
1554121595531328,-0.00036,0,7.086912,43.60969
1554121595535380,0.000018,0,7.039347,43.609611
1554121595539432,0.000125,0,7.031403,43.609673
1554121595543484,0.000039,0,7.046897,43.609931
1554121595547536,-0.00003,0,7.066227,43.610457
1554121595551588,-0.000024,0,7.067713,43.611442
1554121595555640,0.000003,0,7.02955,43.613124
1554121595559692,0.000009,0,6.95897,43.615741
1554121595563744,0.000002,0,6.902528,43.619532
1554121595567796,-0.000002,0,6.89617,43.624644
1554121595571848,-0.000002,0,6.906873,43.630737
1554121595575900,0,0,6.881091,43.637297
1554121595579952,0.000001,0,6.812881,43.643816
1554121595584004,0,0,6.750814,43.649783
1554121595588056,-0,0,6.733438,43.65466
1554121595592108,-0,0,6.744074,43.657792
1554121595596160,0,0,6.75241,43.658488
1554121595600212,0,0,6.750135,43.656058
1554121595604264,0,0,6.750246,43.649813
1554121595608316,-0,0,6.759396,43.639501
1554121595612368,-0,0,6.758959,43.626515
1554121595616420,0,0,6.726273,43.612629
1554121595620472,0,0,6.663401,43.599617
1554121595624524,0,0,6.592645,43.589256
1554121595628576,-0,0,6.530007,43.582638
1554121595632628,-0,0,6.471493,43.578748
1554121595636680,0,0,6.410167,43.576164
1554121595640732,0,0,6.347548,43.573465
1554121595644784,0,0,6.29098,43.569229
1554121595648836,-0,0,6.240012,43.562745
1554121595652888,-0,0,6.175124,43.55514
1554121595656940,0,0,6.076561,43.547834
1554121595660992,0,0,5.950814,43.54225
1554121595665044,0,0,5.819614,43.539803
1554121595669096,-0,0,5.696403,43.541271
1554121595673148,-0,0,5.577513,43.546074
1554121595677200,0,0,5.457723,43.553457
1554121595681252,0,0,5.335917,43.562667
1554121595685304,-0,0,5.212987,43.572948
1554121595689356,-0,0,5.090264,43.583327
1554121595693408,-0,0,4.96979,43.592446
1554121595697460,0,0,4.852574,43.598906
1554121595701512,0,0,4.73229,43.601308
1554121595705564,-0,0,4.599972,43.598276
1554121595709616,-0,0,4.464067,43.58966
1554121595713668,-0,0,4.357877,43.577166
1554121595717720,0,0,4.303781,43.562656
1554121595721772,0,0,4.254035,43.547993
1554121595725824,-0,0,4.138938,43.53501
1554121595729876,-0,0,3.950814,43.524528
1554121595733928,-0,0,3.756784,43.516077
1554121595737980,0,0,3.612675,43.509102
1554121595742032,0,0,3.503367,43.50305
1554121595746084,-0,0,3.394656,43.497382
1554121595750136,-0,0,3.273193,43.491973
1554121595754188,-0,0,3.146895,43.487151
1554121595758240,0,0,3.022971,43.483267
1554121595762292,-0,0,2.902444,43.480673
1554121595766344,0,0,2.784704,43.479702
1554121595770396,0,0,2.665653,43.48034
1554121595774448,0,0,2.538185,43.482255
1554121595778500,-0,0,2.402913,43.4851
1554121595782552,-0,0,2.284465,43.488529
1554121595786604,0,0,2.208916,43.492193
1554121595790656,0,0,2.15887,43.495677
1554121595794708,0,0,2.085301,43.498515
1554121595798760,-0,0,1.963769,43.50024
1554121595802812,-0,0,1.834374,43.500385
1554121595806864,0,0,1.742986,43.498517
1554121595810916,0,0,1.687878,43.494593
1554121595814968,0,0,1.638154,43.488824
1554121595819020,-0,0,1.576252,43.481425
1554121595823072,-0,0,1.513906,43.472609
1554121595827124,0,0,1.463391,43.462618
1554121595831176,0,0,1.408875,43.451931
1554121595835228,-0,0,1.320282,43.441155
1554121595839280,-0,0,1.19313,43.430902
1554121595843332,-0,0,1.069094,43.421783
1554121595847384,0,0,0.987339,43.414264
1554121595851436,0,0,0.935105,43.407694
1554121595855488,-0,0,0.877672,43.400888
1554121595859540,-0,0,0.806691,43.392661
1554121595863592,-0,0,0.753601,43.381827
1554121595867644,0,0,0.74431,43.36755
1554121595871696,0,0,0.753557,43.351146
1554121595875748,-0,0,0.738388,43.334753
1554121595879800,-0,0,0.682771,43.320509
1554121595883852,-0,0,0.604856,43.310553
1554121595887904,0,0,0.52525,43.306438
1554121595891956,0,0,0.465755,43.306723
1554121595896008,-0,0,0.447271,43.309017
1554121595900060,-0,0,0.457761,43.310927
1554121595904112,-0,0,0.449835,43.31006
1554121595908164,0,0,0.391914,43.304706
1554121595912216,0,0,0.32158,43.29605
1554121595916268,-0,0,0.290764,43.28604
1554121595920320,-0,0,0.299084,43.276628
1554121595924372,-0,0,0.298667,43.269762
1554121595928424,0,0,0.254897,43.266655
1554121595932476,0,0,0.181904,43.265955
1554121595936528,-0,0,0.103327,43.265756
1554121595940580,-0,0,0.037061,43.264151
1554121595944632,-0,0,-0.00343,43.259232
1554121595948684,0.000001,0,-0.012258,43.249911
1554121595952736,0.000002,0,-0.003691,43.237454
1554121595956788,-0.000002,0,0.005366,43.223548
1554121595960840,-0.000007,0,0.00658,43.209878
1554121595964892,-0.000001,0,-0.002782,43.198128
1554121595968944,0.000019,0,-0.016646,43.189305
1554121595972996,0.000021,0,-0.009328,43.182804
1554121595977048,-0.000035,0,0.042415,43.177786
1554121595981100,-0.000093,0,0.114017,43.173412
1554121595985152,0.000002,0,0.155162,43.168846
1554121595989204,0.000282,0,0.149563,43.163563
1554121595993256,0.00027,0,0.145542,43.157661
1554121595997308,-0.00056,0,0.189698,43.151312
1554121596001360,-0.001307,0,0.261572,43.144689
1554121596005412,0.000218,0,0.310535,43.13796
1554121596009464,0.004105,0,0.315376,43.131115
1554121596013516,0.003402,0,0.301722,43.123832
1554121596017568,-0.008826,0,0.295384,43.115765
1554121596021620,-0.018105,0,0.297716,43.106565
1554121596025672,0.006304,0,0.30086,43.095892
1554121596029724,0.059849,0,0.301059,43.083827
1554121596033776,0.041867,0,0.300066,43.071049
1554121596037828,-0.136991,0,0.299667,43.05828
1554121596041880,-0.249844,0,0.299855,43.046244
1554121596045932,0.13283,0,0.300068,43.035646
1554121596049984,1.271903,0,0.300072,43.026639
1554121595486756,1.707846,0,7.357403,43.655023
1554121595490808,0.996104,0,7.364861,43.646421
1554121595494860,0.426591,0,7.341936,43.637493
1554121595498912,0.120022,0,7.279349,43.629022
1554121595502964,0.01443,0,7.21321,43.621789
1554121595507016,-0.005151,0,7.181942,43.616505
1554121595511068,-0.005289,0,7.186071,43.613143
1554121595515120,0.000004,0,7.205181,43.611252
1554121595519172,0.001768,0,7.218926,43.610372
1554121595523224,0.000651,0,7.207511,43.610046
1554121595527276,-0.000398,0,7.156056,43.609853
1554121595531328,-0.00036,0,7.086912,43.60969
1554121595535380,0.000018,0,7.039347,43.609611
1554121595539432,0.000125,0,7.031403,43.609673
1554121595543484,0.000039,0,7.046897,43.609931
1554121595547536,-0.00003,0,7.066227,43.610457
1554121595551588,-0.000024,0,7.067713,43.611442
1554121595555640,0.000003,0,7.02955,43.613124
1554121595559692,0.000009,0,6.95897,43.615741
1554121595563744,0.000002,0,6.902528,43.619532
1554121595567796,-0.000002,0,6.89617,43.624644
1554121595571848,-0.000002,0,6.906873,43.630737
1554121595575900,0,0,6.881091,43.637297
1554121595579952,0.000001,0,6.812881,43.643816
1554121595584004,0,0,6.750814,43.649783
1554121595588056,-0,0,6.733438,43.65466
1554121595592108,-0,0,6.744074,43.657792
1554121595596160,0,0,6.75241,43.658488
1554121595600212,0,0,6.750135,43.656058
1554121595604264,0,0,6.750246,43.649813
1554121595608316,-0,0,6.759396,43.639501
1554121595612368,-0,0,6.758959,43.626515
1554121595616420,0,0,6.726273,43.612629
1554121595620472,0,0,6.663401,43.599617
1554121595624524,0,0,6.592645,43.589256
1554121595628576,-0,0,6.530007,43.582638
1554121595632628,-0,0,6.471493,43.578748
1554121595636680,0,0,6.410167,43.576164
1554121595640732,0,0,6.347548,43.573465
1554121595644784,0,0,6.29098,43.569229
1554121595648836,-0,0,6.240012,43.562745
1554121595652888,-0,0,6.175124,43.55514
1554121595656940,0,0,6.076561,43.547834
1554121595660992,0,0,5.950814,43.54225
1554121595665044,0,0,5.819614,43.539803
1554121595669096,-0,0,5.696403,43.541271
1554121595673148,-0,0,5.577513,43.546074
1554121595677200,0,0,5.457723,43.553457
1554121595681252,0,0,5.335917,43.562667
1554121595685304,-0,0,5.212987,43.572948
1554121595689356,-0,0,5.090264,43.583327
1554121595693408,-0,0,4.96979,43.592446
1554121595697460,0,0,4.852574,43.598906
1554121595701512,0,0,4.73229,43.601308
1554121595705564,-0,0,4.599972,43.598276
1554121595709616,-0,0,4.464067,43.58966
1554121595713668,-0,0,4.357877,43.577166
1554121595717720,0,0,4.303781,43.562656
1554121595721772,0,0,4.254035,43.547993
1554121595725824,-0,0,4.138938,43.53501
1554121595729876,-0,0,3.950814,43.524528
1554121595733928,-0,0,3.756784,43.516077
1554121595737980,0,0,3.612675,43.509102
1554121595742032,0,0,3.503367,43.50305
1554121595746084,-0,0,3.394656,43.497382
1554121595750136,-0,0,3.273193,43.491973
1554121595754188,-0,0,3.146895,43.487151
1554121595758240,0,0,3.022971,43.483267
1554121595762292,-0,0,2.902444,43.480673
1554121595766344,0,0,2.784704,43.479702
1554121595770396,0,0,2.665653,43.48034
1554121595774448,0,0,2.538185,43.482255
1554121595778500,-0,0,2.402913,43.4851
1554121595782552,-0,0,2.284465,43.488529
1554121595786604,0,0,2.208916,43.492193
1554121595790656,0,0,2.15887,43.495677
1554121595794708,0,0,2.085301,43.498515
1554121595798760,-0,0,1.963769,43.50024
1554121595802812,-0,0,1.834374,43.500385
1554121595806864,0,0,1.742986,43.498517
1554121595810916,0,0,1.687878,43.494593
1554121595814968,0,0,1.638154,43.488824
1554121595819020,-0,0,1.576252,43.481425
1554121595823072,-0,0,1.513906,43.472609
1554121595827124,0,0,1.463391,43.462618
1554121595831176,0,0,1.408875,43.451931
1554121595835228,-0,0,1.320282,43.441155
1554121595839280,-0,0,1.19313,43.430902
1554121595843332,-0,0,1.069094,43.421783
1554121595847384,0,0,0.987339,43.414264
1554121595851436,0,0,0.935105,43.407694
1554121595855488,-0,0,0.877672,43.400888
1554121595859540,-0,0,0.806691,43.392661
1554121595863592,-0,0,0.753601,43.381827
1554121595867644,0,0,0.74431,43.36755
1554121595871696,0,0,0.753557,43.351146
1554121595875748,-0,0,0.738388,43.334753
1554121595879800,-0,0,0.682771,43.320509
1554121595883852,-0,0,0.604856,43.310553
1554121595887904,0,0,0.52525,43.306438
1554121595891956,0,0,0.465755,43.306723
1554121595896008,-0,0,0.447271,43.309017
1554121595900060,-0,0,0.457761,43.310927
1554121595904112,-0,0,0.449835,43.31006
1554121595908164,0,0,0.391914,43.304706
1554121595912216,0,0,0.32158,43.29605
1554121595916268,-0,0,0.290764,43.28604
1554121595920320,-0,0,0.299084,43.276628
1554121595924372,-0,0,0.298667,43.269762
1554121595928424,0,0,0.254897,43.266655
1554121595932476,0,0,0.181904,43.265955
1554121595936528,-0,0,0.103327,43.265756
1554121595940580,-0,0,0.037061,43.264151
1554121595944632,-0,0,-0.00343,43.259232
