@relation scenario_3

@attribute timestamps numeric
@attribute latitude_degree numeric
@attribute longitude_degree numeric
@attribute accelerator_pedal numeric
@attribute brake_pressure numeric
@attribute steering_angle_calculated numeric
@attribute vehicle_speed numeric
@attribute steering_angle_calculated_sign numeric

@data
1554115642724241,48.144481,11.569935,0,11.084511,122.566251,13.255987,1
1554115642728289,48.144481,11.569935,0,11.188389,122.807939,13.249368,1
1554115642732337,48.144481,11.569935,-0,11.327029,123.009145,13.246584,1
1554115642736385,48.144481,11.569935,-0,11.418616,123.183183,13.244368,1
1554115642740433,48.144481,11.569935,-0,11.429065,123.362776,13.239455,1
1554115642744481,48.144482,11.569935,0,11.403805,123.555464,13.229401,1
1554115642748529,48.144482,11.569935,0,11.389575,123.729901,13.214384,1
1554115642752577,48.144482,11.569935,-0,11.392994,123.860105,13.195102,1
1554115642756625,48.144482,11.569935,-0,11.404605,123.972171,13.172253,1
1554115642760673,48.144482,11.569934,-0,11.412727,124.110772,13.146534,1
1554115642764721,48.144482,11.569934,0,11.402596,124.290375,13.118943,1
1554115642768769,48.144482,11.569934,0,11.369432,124.485881,13.09129,1
1554115642772817,48.144482,11.569934,-0,11.363742,124.673975,13.065524,1
1554115642776865,48.144482,11.569934,-0,11.45197,124.85354,13.043592,1
1554115642780913,48.144482,11.569934,-0,11.609415,125.030346,13.027437,1
1554115642784961,48.144482,11.569934,0,11.699802,125.209883,13.017488,1
1554115642789009,48.144482,11.569934,0,11.621913,125.397327,13.010723,1
1554115642793057,48.144482,11.569934,-0,11.464767,125.59271,13.003638,1
1554115642797105,48.144482,11.569934,-0,11.367257,125.774699,12.99273,1
1554115642801153,48.144482,11.569935,0,11.367656,125.91799,12.974517,1
1554115642805201,48.144482,11.569935,0,11.400448,126.031405,12.947765,1
1554115642809249,48.144482,11.569935,0,11.410978,126.15651,12.915571,1
1554115642813297,48.144481,11.569935,-0,11.403948,126.323174,12.881526,1
1554115642817345,48.144481,11.569935,-0,11.397516,126.515784,12.84922,1
1554115642821393,48.144481,11.569935,0,11.397806,126.709599,12.822216,1
1554115642825441,48.144481,11.569935,0,11.400141,126.893293,12.80211,1
1554115642829489,48.144481,11.569935,0,11.400791,127.066682,12.787317,1
1554115642833537,48.144481,11.569935,-0,11.40025,127.235475,12.775961,1
1554115642837585,48.144481,11.569936,-0,11.399781,127.421937,12.766168,1
1554115642841633,48.144481,11.569936,0,11.399792,127.648541,12.756074,1
1554115642845681,48.144481,11.569936,0,11.400039,127.899932,12.744333,1
1554115642849729,48.144481,11.569936,0,11.400256,128.134048,12.730324,1
1554115642853777,48.144481,11.569937,-0,11.400155,128.326221,12.713476,1
1554115642857825,48.144481,11.569937,-0,11.39953,128.496953,12.69322,1
1554115642861873,48.144481,11.569937,0,11.399158,128.671805,12.669017,1
1554115642865921,48.14448,11.569937,0,11.400442,128.855609,12.641304,1
1554115642869969,48.14448,11.569938,0,11.402892,129.040618,12.611683,1
1554115642874017,48.14448,11.569938,-0,11.401704,129.222455,12.581826,1
1554115642878065,48.14448,11.569938,-0,11.393088,129.404198,12.553403,1
1554115642882113,48.14448,11.569939,0,11.388618,129.589027,12.528038,1
1554115642886161,48.14448,11.569939,0,11.408143,129.772799,12.506261,1
